Calvin Ridley
    Devin Singletary
    Robert Woods
    A.J. Brown
    Mark Andrews
    Mark Ingram
    DK Metcalf
    DJ Chark
    Raheem Mostert
    Tyler Lockett
    Zach Ertz
    Keenan Allen
    Terry McLaurin
    Kareem Hunt
    T.Y. Hilton
    Russell Wilson
    D'Andre Swift
    Ronald Jones
    Courtland Sutton
    Darren Waller
    Cam Akers
    Dak Prescott
    A.J. Green
    Kyler Murray
    Stefon Diggs
    Marquise Brown
    Deshaun Watson
    James White
    DeVante Parker
    Rob Gronkowski
    J.K. Dobbins
    Julian Edelman
    Evan Engram
    Marlon Mack
    Will Fuller V
    Brandin Cooks
    Hayden Hurst
    Michael Gallup
    Jordan Howard
    Drew Brees
    Matt Breida
    Jarvis Landry
    Antonio Gibson
    Matt Ryan
    Tyler Boyd
    Diontae Johnson
    Tarik Cohen
    Tyler Higbee
    Tevin Coleman
    Deebo Samuel
    Tom Brady
    Phillip Lindsay
    Latavius Murray
    Aaron Rodgers
    Alexander Mattison
    Marvin Jones
    Hunter Henry
    Josh Allen
    Emmanuel Sanders
    Kerryon Johnson
    CeeDee Lamb
    Zack Moss
    Henry Ruggs III
    49ers
    Mecole Hardman
    Carson Wentz
    Darius Slayton
    Sony Michel
    Ke'Shawn Vaughn
    Chase Edmonds
    Jamison Crowder
    Ravens
    Matthew Stafford
    Darrell Henderson
    Jared Cook
    Adrian Peterson
    Jerry Jeudy
    Christian Kirk
    Steelers
    Tony Pollard
    Jalen Reagor
    Cam Newton
    Noah Fant
    Duke Johnson
    Bills
    Daniel Jones
    Justin Jefferson
    Boston Scott
    Sammy Watkins
    DeSean Jackson
    Sterling Shepard
    Justin Jackson
    Ben Roethlisberger
    Damien Harris
    Bears
    A.J. Dillon
    Anthony Miller
    Darius Leonard
    Brandon Aiyuk
    Baker Mayfield
    Patriots
    Austin Hooper
    Golden Tate
    Chargers
    Bobby Wagner
    Joe Schobert
    Cory Littleton
    T.J. Hockenson
    Blake Martinez
    Joe Burrow
    Tremaine Edmunds
    Allen Lazard
    Justin Tucker
    T.J. Watt
    Jordan Hicks
    Mike Gesicki
    Jared Goff
    Harrison Butker
    Chandler Jones
    Aaron Donald
    John Brown
    Nyheim Hines
    Buccaneers
    Preston Williams
    Bryce Love
    Jamal Adams
    Harrison Smith
    Michael Pittman Jr.
    Jaylon Smith
    Jonnu Smith
